time,geo,age,sex\nat,BE,FO
1991,Fla,21,F,38409,2268
1991,Fla,22,M,40579,2269
1991,Fla,22,F,38925,2181
1991,Fla,23,M,42215,2281
1991,Fla,23,F,39811,2164
1991,Fla,24,M,43139,2723
1991,Fla,24,F,41385,2477
1991,Fla,25,M,44677,2809
1991,Fla,25,F,42621,2370
1991,Fla,26,M,46546,2977
1991,Fla,26,F,44807,2481
1991,Fla,27,M,46283,2861
1991,Fla,27,F,44481,2309
1991,Fla,28,M,45715,3017
1991,Fla,28,F,43998,2238
1991,Fla,29,M,45664,2789
1991,Fla,29,F,44385,2033
1991,Fla,30,M,44557,3024
1991,Fla,30,F,43259,2254
1991,Fla,31,M,45545,2796
1991,Fla,31,F,44206,2064
1991,Fla,32,M,44713,2961
1991,Fla,32,F,43078,2011
1991,Fla,33,M,44302,2753
1991,Fla,33,F,42656,1812
1991,Fla,34,M,43013,2725
1991,Fla,34,F,42083,1915
1991,Fla,35,M,42584,2798
1991,Fla,35,F,41770,1822
1991,Fla,36,M,41875,2562
1991,Fla,36,F,40748,1700
1991,Fla,37,M,41170,2286
1991,Fla,37,F,39584,1577
1991,Fla,38,M,41257,2416
1991,Fla,38,F,39382,1539
1991,Fla,39,M,39380,2279
1991,Fla,39,F,38019,1411
1991,Fla,40,M,38726,2506
1991,Fla,40,F,37973,1527
1991,Fla,41,M,39246,2420
1991,Fla,41,F,37820,1496
1991,Fla,42,M,39183,2283
1991,Fla,42,F,38387,1366
1991,Fla,43,M,39067,2183
1991,Fla,43,F,37972,1391
1991,Fla,44,M,40216,2081
1991,Fla,44,F,38557,1260
1991,Fla,45,M,35825,1836
1991,Fla,45,F,34983,1146
1991,Fla,46,M,35574,1802
1991,Fla,46,F,34754,1165
1991,Fla,47,M,34131,1812
1991,Fla,47,F,33410,1107
1991,Fla,48,M,29796,1661
1991,Fla,48,F,29134,1110
1991,Fla,49,M,26849,1627
1991,Fla,49,F,26833,996
1991,Fla,50,M,29716,1756
1991,Fla,50,F,29779,1190
1991,Fla,51,M,32601,1665
1991,Fla,51,F,33477,988
1991,Fla,52,M,33747,1626
1991,Fla,52,F,34184,1061
1991,Fla,53,M,32794,1488
1991,Fla,53,F,33040,932
1991,Fla,54,M,31909,1397
1991,Fla,54,F,32573,863
1991,Fla,55,M,31889,1332
1991,Fla,55,F,32623,840
1991,Fla,56,M,32066,1325
1991,Fla,56,F,33363,887
1991,Fla,57,M,32452,1288
1991,Fla,57,F,33309,820
1991,Fla,58,M,33150,1282
1991,Fla,58,F,34821,782
1991,Fla,59,M,33167,1121
1991,Fla,59,F,35014,673
1991,Fla,60,M,32675,1158
1991,Fla,60,F,34936,745
1991,Fla,61,M,30318,1013
1991,Fla,61,F,32762,676
1991,Fla,62,M,29589,942
1991,Fla,62,F,32150,688
1991,Fla,63,M,28558,897
1991,Fla,63,F,31125,612
1991,Fla,64,M,28114,836
1991,Fla,64,F,31747,640
1991,Fla,65,M,28150,823
1991,Fla,65,F,31457,623
1991,Fla,66,M,27131,810
1991,Fla,66,F,30932,576
1991,Fla,67,M,26533,801
1991,Fla,67,F,30900,613
1991,Fla,68,M,24733,681
1991,Fla,68,F,29319,554
1991,Fla,69,M,23981,681
1991,Fla,69,F,29235,520
1991,Fla,70,M,23241,591
1991,Fla,70,F,28739,491
1991,Fla,71,M,17467,477
1991,Fla,71,F,21949,324
1991,Fla,72,M,11355,365
1991,Fla,72,F,15199,297
1991,Fla,73,M,10771,351
1991,Fla,73,F,14983,277
1991,Fla,74,M,12126,298
1991,Fla,74,F,16723,285
1991,Fla,75,M,14053,308
1991,Fla,75,F,19693,286
1991,Fla,76,M,14972,319
1991,Fla,76,F,22320,293
1991,Fla,77,M,14027,266
1991,Fla,77,F,21779,266
1991,Fla,78,M,12901,237
1991,Fla,78,F,20739,265
1991,Fla,79,M,11054,204
1991,Fla,79,F,18824,223
1991,Fla,80,M,10212,141
1991,Fla,80,F,18040,203
1991,Fla,81,M,9054,172
1991,Fla,81,F,16589,232
1991,Fla,82,M,7813,145
1991,Fla,82,F,15424,179
1991,Fla,83,M,6973,125
1991,Fla,83,F,13856,153
1991,Fla,84,M,5727,102
1991,Fla,84,F,12334,148
1991,Fla,85,M,4700,88
1991,Fla,85,F,10924,116
1991,Fla,86,M,3963,76
1991,Fla,86,F,9369,146
1991,Fla,87,M,3204,49
1991,Fla,87,F,7775,87
1991,Fla,88,M,2526,29
1991,Fla,88,F,6523,67
1991,Fla,89,M,2013,32
1991,Fla,89,F,5325,66
1991,Fla,90,M,1454,30
1991,Fla,90,F,4049,50
1991,Fla,91,M,1151,22
1991,Fla,91,F,3234,37
1991,Fla,92,M,785,13
1991,Fla,92,F,2336,39
1991,Fla,93,M,609,20
1991,Fla,93,F,1728,21
1991,Fla,94,M,428,7
1991,Fla,94,F,1222,17
1991,Fla,95,M,294,4
1991,Fla,95,F,864,13
1991,Fla,96,M,159,2
1991,Fla,96,F,588,9
1991,Fla,97,M,120,5
1991,Fla,97,F,369,5
1991,Fla,98,M,69,1
1991,Fla,98,F,217,2
1991,Fla,99,M,33,2
1991,Fla,99,F,139,2
1991,Fla,100,M,25,0
1991,Fla,100,F,83,0
1991,Fla,101,M,20,0
1991,Fla,101,F,56,5
1991,Fla,102,M,5,0
1991,Fla,102,F,35,0
1991,Fla,103,M,5,0
1991,Fla,103,F,21,1
1991,Fla,104,M,3,0
1991,Fla,104,F,10,1
1991,Fla,105,M,2,0
1991,Fla,105,F,4,1
1991,Fla,106,M,0,0
1991,Fla,106,F,1,0
1991,Fla,107,M,0,0
1991,Fla,107,F,2,0
1991,Fla,108,M,0,0
1991,Fla,108,F,1,0
1991,Fla,109,M,0,0
1991,Fla,109,F,0,0
1991,Fla,110,M,0,0
1991,Fla,110,F,0,0
1991,Fla,111,M,0,0
1991,Fla,111,F,0,0
1991,Fla,112,M,0,0
1991,Fla,112,F,0,0
1991,Fla,113,M,0,0
1991,Fla,113,F,0,0
1991,Fla,114,M,0,0
1991,Fla,114,F,0,0
1991,Fla,115,M,0,0
1991,Fla,115,F,0,0
1991,Fla,116,M,0,0
1991,Fla,116,F,0,0
1991,Fla,117,M,0,0
1991,Fla,117,F,0,0
1991,Fla,118,M,0,0
1991,Fla,118,F,0,0
1991,Fla,119,M,0,0
1991,Fla,119,F,0,0
1991,Fla,120,M,0,0
1991,Fla,120,F,0,0
1991,Wal,0,M,19125,2070
1991,Wal,0,F,18231,1997
1991,Wal,1,M,19334,2160
1991,Wal,1,F,18366,2064
1991,Wal,2,M,19293,2240
1991,Wal,2,F,18294,2159
1991,Wal,3,M,18611,2274
1991,Wal,3,F,17765,2155
1991,Wal,4,M,18687,2341
1991,Wal,4,F,17702,2156
1991,Wal,5,M,18086,2247
1991,Wal,5,F,17179,2148
1991,Wal,6,M,17775,2303
1991,Wal,6,F,17098,2259
1991,Wal,7,M,17782,2353
1991,Wal,7,F,16483,2212
1991,Wal,8,M,17919,2497
1991,Wal,8,F,17205,2379
1991,Wal,9,M,18158,2528
1991,Wal,9,F,17629,2452
1991,Wal,10,M,18232,2604
1991,Wal,10,F,17663,2458
1991,Wal,11,M,18022,2579
1991,Wal,11,F,17022,2455
1991,Wal,12,M,17766,2600
1991,Wal,12,F,17096,2432
1991,Wal,13,M,18143,2580
1991,Wal,13,F,17152,2574
1991,Wal,14,M,18349,2575
1991,Wal,14,F,17666,2452
1991,Wal,15,M,18619,2587
1991,Wal,15,F,17843,2457
1991,Wal,16,M,19474,2747
1991,Wal,16,F,18387,2554
1991,Wal,17,M,20416,2825
1991,Wal,17,F,19365,2749
1991,Wal,18,M,20906,3140
1991,Wal,18,F,19983,2933
1991,Wal,19,M,21345,3128
1991,Wal,19,F,20498,2967
1991,Wal,20,M,20876,3145
1991,Wal,20,F,19817,3024
1991,Wal,21,M,20695,3200
1991,Wal,21,F,19898,3046
1991,Wal,22,M,20097,3257
1991,Wal,22,F,19566,3035
1991,Wal,23,M,20380,3224
1991,Wal,23,F,19638,2931
1991,Wal,24,M,20516,3859
1991,Wal,24,F,19903,3362
1991,Wal,25,M,21096,4021
1991,Wal,25,F,20487,3314
1991,Wal,26,M,21773,4025
1991,Wal,26,F,21316,3319
1991,Wal,27,M,21418,4017
1991,Wal,27,F,21417,3170
1991,Wal,28,M,20718,3971
1991,Wal,28,F,20941,3051
1991,Wal,29,M,21446,3952
1991,Wal,29,F,21850,3047
1991,Wal,30,M,21295,4271
1991,Wal,30,F,21423,3040
1991,Wal,31,M,21684,4075
1991,Wal,31,F,22450,2981
1991,Wal,32,M,21389,4137
1991,Wal,32,F,22017,2951
1991,Wal,33,M,21279,4095
1991,Wal,33,F,21764,2845
1991,Wal,34,M,20842,4210
1991,Wal,34,F,21609,2880
1991,Wal,35,M,20771,4020
1991,Wal,35,F,21747,2844
1991,Wal,36,M,20780,3965
1991,Wal,36,F,21595,2694
1991,Wal,37,M,20976,3695
1991,Wal,37,F,21453,2456
1991,Wal,38,M,20915,3608
1991,Wal,38,F,21248,2443
1991,Wal,39,M,20288,3329
1991,Wal,39,F,21038,2399
1991,Wal,40,M,21203,3468
1991,Wal,40,F,21232,2495
1991,Wal,41,M,21186,3271
1991,Wal,41,F,21338,2309
1991,Wal,42,M,21835,3261
1991,Wal,42,F,22087,2403
1991,Wal,43,M,21931,3175
1991,Wal,43,F,21946,2180
1991,Wal,44,M,21407,3012
1991,Wal,44,F,21909,2071
1991,Wal,45,M,15940,2434
1991,Wal,45,F,16713,1733
1991,Wal,46,M,16036,2374
1991,Wal,46,F,16482,1809
1991,Wal,47,M,15053,2148
1991,Wal,47,F,15575,1648
1991,Wal,48,M,13025,2083
1991,Wal,48,F,13610,1621
1991,Wal,49,M,12203,1998
1991,Wal,49,F,12929,1554
1991,Wal,50,M,13625,2371
1991,Wal,50,F,14465,1823
1991,Wal,51,M,14886,2189
1991,Wal,51,F,16044,1816
1991,Wal,52,M,15205,2060
1991,Wal,52,F,16480,1834
1991,Wal,53,M,14548,2089
1991,Wal,53,F,15456,1677
1991,Wal,54,M,14236,2028
1991,Wal,54,F,15538,1720
1991,Wal,55,M,14210,2037
1991,Wal,55,F,15635,1742
1991,Wal,56,M,14961,1979
1991,Wal,56,F,16295,1753
1991,Wal,57,M,15141,1977
1991,Wal,57,F,16458,1780
1991,Wal,58,M,16016,2117
1991,Wal,58,F,17984,1748
1991,Wal,59,M,16739,1903
1991,Wal,59,F,18610,1719
1991,Wal,60,M,16640,2062
1991,Wal,60,F,18831,1792
1991,Wal,61,M,15752,2002
1991,Wal,61,F,18091,1723
1991,Wal,62,M,15548,2021
1991,Wal,62,F,18384,1632
1991,Wal,63,M,15384,2049
1991,Wal,63,F,18037,1703
1991,Wal,64,M,15142,2088
1991,Wal,64,F,18298,1686
1991,Wal,65,M,15190,1946
1991,Wal,65,F,18845,1653
1991,Wal,66,M,14730,1911
1991,Wal,66,F,18537,1587
1991,Wal,67,M,14053,1817
1991,Wal,67,F,18137,1484
1991,Wal,68,M,13952,1613
1991,Wal,68,F,18203,1417
1991,Wal,69,M,13785,1422
1991,Wal,69,F,18654,1334
1991,Wal,70,M,13050,1258
1991,Wal,70,F,18203,1228
1991,Wal,71,M,9253,759
1991,Wal,71,F,13199,844
1991,Wal,72,M,6280,595
1991,Wal,72,F,9259,560
1991,Wal,73,M,5671,522
1991,Wal,73,F,8975,513
1991,Wal,74,M,6206,507
1991,Wal,74,F,9317,615
1991,Wal,75,M,6980,559
1991,Wal,75,F,11243,678
1991,Wal,76,M,7750,559
1991,Wal,76,F,13100,733
1991,Wal,77,M,7210,549
1991,Wal,77,F,12437,692
1991,Wal,78,M,6380,479
1991,Wal,78,F,12209,646
1991,Wal,79,M,5363,393
1991,Wal,79,F,10947,590
1991,Wal,80,M,5034,296
1991,Wal,80,F,10571,526
1991,Wal,81,M,4284,224
1991,Wal,81,F,9818,498
1991,Wal,82,M,3775,227
1991,Wal,82,F,9201,437
1991,Wal,83,M,3257,174
1991,Wal,83,F,8657,372
1991,Wal,84,M,2788,157
1991,Wal,84,F,7476,316
1991,Wal,85,M,2242,123
1991,Wal,85,F,6246,297
1991,Wal,86,M,1874,110
1991,Wal,86,F,5649,261
1991,Wal,87,M,1517,86
1991,Wal,87,F,4705,170
1991,Wal,88,M,1179,68
1991,Wal,88,F,4028,182
1991,Wal,89,M,932,45
1991,Wal,89,F,3501,169
1991,Wal,90,M,684,45
1991,Wal,90,F,2580,124
1991,Wal,91,M,523,23
1991,Wal,91,F,1882,71
1991,Wal,92,M,346,20
1991,Wal,92,F,1437,65
1991,Wal,93,M,224,19
1991,Wal,93,F,1052,58
1991,Wal,94,M,167,15
1991,Wal,94,F,760,27
