time,geo,age,sex\nat,BE,FO
1991,BruCap,48,M,0.006361708573159649,0.003851091142490373
1991,BruCap,48,F,0.004022526146419952,0.001593625498007968
1991,BruCap,49,M,0.008457374830852503,0.0
1991,BruCap,49,F,0.004384682841274482,0.0008764241893076249
1991,BruCap,50,M,0.01077521700089793,0.005402160864345739
1991,BruCap,50,F,0.003744316662209147,0.001402524544179523
1991,BruCap,51,M,0.0053717839977381965,0.004713804713804714
1991,BruCap,51,F,0.003383276945384244,0.0016433853738701731
1991,BruCap,52,M,0.01072840203274986,0.0032488628979857053
1991,BruCap,52,F,0.005120702267739576,0.002640845070422535
1991,BruCap,53,M,0.008993816750983699,0.005046863734679163
1991,BruCap,53,F,0.004399902224395014,0.0035810205908683975
1991,BruCap,54,M,0.01105615362234507,0.0028011204481792717
